,id,name,cluster,similarity,num,status,kind
985,3be14cbc-8810-4103-8471-891becb47786,Collapsing a node sometimes causes another node to expand,156,0.8429726532109181,98,Done,
986,332d46b6-ae07-4a63-82ee-740cd50d57ca,Add version header to websocket connections,-1,,346,Done,github_pr
987,91cad9de-157a-44b7-a1ee-f710d5f5e759,Video of dragging and dropping tasks to create a dependency graph,-1,,378,Done,
988,8be29041-a44f-4b12-8cc3-6c3fd755b187,Attempt to fix auth related crashes,-1,,509,Done,github_pr
989,3d5499e0-ee00-45f5-bcd0-6f64e9b35a5f,Show unassigned children of assigned rollup tasks,188,0.9625504208606603,609,Done,github_pr
990,fb51dd9c-27f9-49f9-9d76-22cfdd24f540,Migrate stores to Svelte $state rune,152,0.8983288379360561,258,Done,
991,avmoj8RHTpCUJZTVEzy2qg,Add Teams bot commands handling (like /token command),143,0.9127019189659973,1232,,
992,0a7c7963-c145-47d4-ad2d-3b53eff67903,Implement a REST endpoint for points,-1,,1009,Ready,
993,AOiz9NVSTu-Sh6lcwcEUDQ,Migrate Kosui from the Koso repo,252,0.9246862731180923,1181,Done,github_pr
994,HR9sqFQUQo-Jfvia4sP4Vg,Update database schema to support Teams notifier configuration,146,0.8311594076481187,1225,,
995,493925eb-ee90-4402-9826-9ec51d159fe9,+layout.svelte,196,0.8558535848189226,248,Done,
996,i_e-UqymSDy2Baqx1aPgHg,Add error and error_description to ErrorResponse,18,0.878122011803113,1156,Done,github_pr
997,5e284ba1-05a7-4f29-a541-1be2ee9e5185,Rendering a link in Markdown shows no indication of the link,-1,,868,,
998,_czmzGeQRoOdfOyq7R5Z-A,Implement Teams API client with authentication handling,-1,,1220,,
999,8f3c2dc7-7f17-414f-833a-e39b29be4cd5,Bump the npm-deps group across 2 directories with 7 updates,249,0.9829696612845417,417,Done,github_pr
1000,d36d7170-0b9a-4be2-8ca8-04b8ad310213,koso-902: Stop using deprecated stores,84,0.999999861219587,921,Done,github_pr
1001,067214a4-591b-4abb-bb36-2cf629a4c828,Implement Poller,33,0.9120605930689276,310,Done,
1002,EuK5LELsQ9KZc0kfQunM4w,Create Teams authorization flow endpoints (connect/disconnect),148,0.9243473632510029,1223,,
1003,7a5a4123-8eab-4ebb-8aaf-c709fa4434e1,Fix the detail panel close button,-1,,726,Done,github_pr
1004,5c21fbe7-8b76-4a9d-b92e-a00b56ab4f2a,Lock file maintenance,197,1.000000000000001,548,Done,github_pr
1005,9075e8bf-05f8-4654-89f1-80efe2d9ccf6,Adopt anyhow error,-1,,33,Done,
